stop_id,stop_name,stop_desc,stop_lon,stop_lat
20401,"Honvéd u.","",17.787993,46.363158
20402,"Honvéd u.","",17.788024,46.364301
20601,"Losonc-köz","",17.787876,46.370133
20602,"Losonc-köz","",17.787959,46.369498
20801,"Brassó u.","",17.787414,46.372095
20901,"Sopron u.","",17.785773,46.375539
21001,"Nagyszeben u.","",17.787099,46.373202
21101,"Somssich P. u.","",17.789075,46.36059
21601,"Mátyás k. u., forduló","",17.758932,46.366098
21701,"Állatkórház","",17.771328,46.352113
21702,"Állatkórház","",17.77143,46.352072
21901,"Beszédes J. u.","",17.763232,46.341854
21902,"Beszédes J. u.","",17.763295,46.342038
22101,"Rózsa u.","",17.779403,46.346283
22102,"Rózsa u.","",17.779583,46.34629
22103,"Rózsa u.","",17.778775,46.345863
22301,"Vikár B. u.","",17.812303,46.349927
22302,"Vikár B. u.","",17.812114,46.350322
22501,"Toponár, Orci út","",17.841595,46.395334
22502,"Toponár, Orci út","",17.84146,46.395367
22901,"Toldi lakónegyed","",17.782614,46.367266
22902,"Toldi lakónegyed","",17.782415,46.367428
23101,"Kinizsi ltp.","",17.782575,46.371844
23102,"Kinizsi ltp.","",17.782557,46.371188
23501,"Állomás u.","",17.762909,46.413198
23502,"Állomás u.","",17.76257,46.413111
24501,"Fő u. 48","",17.798156,46.356765
24801,"Hősök temploma","",17.809826,46.357663
24802,"Hősök temploma","",17.8102,46.35774
24803,"Hősök temploma","",17.809291,46.358631
24804,"Hősök temploma","",17.807819,46.357917
25801,"Kertbarát felső","",17.787104,46.32504
25802,"Kertbarát felső","",17.787293,46.325102
26601,"Mező u. csp.","",17.813659,46.364089
26602,"Mező u. csp.","",17.812757,46.363197
26603,"Mező u. csp.","",17.813745,46.363234
26604,"Mező u. csp.","",17.812592,46.363882
26701,"Rendőrség","",17.793807,46.364535
26801,"Szegfű u.","",17.783264,46.34562
26802,"Szegfű u.","",17.783638,46.345591
26901,"Szőlőhegy","",17.786042,46.312753
26902,"Szőlőhegy","",17.786074,46.312871
27101,"Jókai u.","",17.786706,46.345813
27102,"Jókai u.","",17.787093,46.34578
27301,"Erdősor u.","",17.773946,46.345704
27501,"Városi fürdő","",17.797212,46.351411
27601,"Célgazdaság","",17.779858,46.313619
27701,"Nap u.","",17.829033,46.350381
27702,"Nap u.","",17.828967,46.350666
28001,"Répáspuszta","",17.840567,46.429772
31601,"Kőrösi Cs. S. u.","",17.760411,46.358633
31602,"Kőrösi Cs. S. u.","",17.760571,46.358609
31701,"Bethlem G. u.","",17.762098,46.352104
31702,"Bethlem G. u.","",17.762275,46.352209
32001,"Szennyvíztelep","",17.874556,46.360806
33001,"Berzsenyi u. 30.","",17.783914,46.360219
33002,"Berzsenyi u. 30.","",17.783949,46.359015
33201,"Jutai u. 24.","",17.768761,46.370219
33202,"Jutai u. 24.","",17.769098,46.369585
33401,"Tóth Á. u.","",17.767521,46.371917
33402,"Tóth Á. u.","",17.767799,46.371315
33601,"Jutai u. 45.","",17.763584,46.37692
33602,"Jutai u. 45.","",17.763422,46.37702
33801,"Raktár u. 2.","",17.763413,46.378251
33802,"Raktár u. 2.","",17.763237,46.378242
34001,"Kecelhegyalja u.","",17.760869,46.363347
34002,"Kecelhegyalja u.","",17.76106,46.363476
34101,"Magyar Nobel-díjasok","",17.763204,46.348833
34102,"Magyar Nobel-díjasok","",17.763354,46.348642
34401,"Aranyeső u.","",17.790368,46.337689
34402,"Aranyeső u.","",17.790636,46.337417
34601,"Fenyves u. 37/A","",17.78296,46.307646
34602,"Fenyves u. 37/A","",17.783003,46.307721
34801,"Fenyves u. 31.","",17.783385,46.306016
34802,"Fenyves u. 31.","",17.783427,46.306067
35001,"Szigetvári u. 6.","",17.794058,46.349041
35002,"Szigetvári u. 6.","",17.794128,46.349135
35201,"Szigetvári u. 62.","",17.79683,46.345526
35202,"Szigetvári u. 62.","",17.796833,46.345617
35401,"Fő u. 37-39.","",17.795415,46.35677
35503,"Kométa, forduló","",17.822924,46.357943
35901,"Kenyérgyár u. 1.","",17.817056,46.363174
35902,"Kenyérgyár u. 1.","",17.816802,46.362878
36101,"Kenyérgyár u. 3.","",17.81812,46.364647
36201,"Dombóvári u. 4.","",17.833675,46.36392
36202,"Dombóvári u. 4.","",17.833452,46.363943
36401,"Izzó u.","",17.816267,46.367378
36402,"Izzó u.","",17.815445,46.366499
36601,"Guba S. u. 57.","",17.817309,46.368622
36602,"Guba S. u. 57.","",17.817069,46.368544
36801,"Guba S. u. 81.","",17.8213,46.37363
36802,"Guba S. u. 81.","",17.82125,46.373753
37001,"Toponári u. 182.","",17.834138,46.402012
37002,"Toponári u. 182.","",17.83402,46.402044
37201,"Toponári u. 238.","",17.835287,46.40522
37202,"Toponári u. 238.","",17.835126,46.405147
37601,"ÁNTSZ","",17.789065,46.36517
37602,"ÁNTSZ","",17.789281,46.365
37801,"Kaposfüredi u. 12.","",17.779393,46.402657
37802,"Kaposfüredi u. 12.","",17.779263,46.402766
38001,"Kaposfüredi u. 104.","",17.779572,46.408858
38002,"Kaposfüredi u. 104.","",17.779423,46.407549
38201,"Kaposfüredi u. 244.","",17.776467,46.419546
38202,"Kaposfüredi u. 244.","",17.776412,46.419329
40101,"Harangvirág u.","",17.790028,46.334789
40102,"Harangvirág u.","",17.7901,46.334838
40201,"Corso","",17.786027,46.355239
